PORADI,ID_NALEZ,DRUH,CESKE_JMENO,KAT_TAX,AUTOR,DATUM_OD,DATUM_DO,CAS,ID_LOKAL,NAZ_LOKAL,SITMAP,KATASTR,X,Y,ZDROJ,NEGATIV,POCET,ODHAD,POCITANO,REL_POC,METOD_SB,POKRYVN,PATROVITOST,FENOFAZE,KODHN,ETOLOGIE,KOMPLETNI_SEZNAM,POZNAMKA,UMIST_NAL,POP_BIOT,TAX_POZN,PROJEKT,DAT_SADA,ZAPSAL,VEROH,VALIDACE,VAL_POZN,GARANCE,GAR_POZN,VYHLASKA,EVD,REDLIST,STRUKT_POZN,CXLOKAL_POZN,CXLOKAL_Z,CXPRESNOST,DATI_INSERT,DATI_UPDATE,UPDATOR,KOD,ALP,ATL,BLS,BOR,CON,MAC,MED,PAN,STE,MATL,MBAL,MBLS,MMAC,MMED,REGION_CHK,CNTRY_CHK,row_n,range_Pnau,range_Ptel,range_both,IMPUTED,POSITIVE,YEAR,EVL,EVL_target,EVL_comb,MZCHU,PROTECT,PLANT_QUANT,PLANT_QUAL,TTP,PRIKOP,ZARUST,JINY,LandUseChange,Abandonment,HarmfulMow,HarmfulGrazing,GrazingByeffects,FertilizerUse,Afforestation,Invasives,NativeDominants,AbioticNaturalProcesses,Encroachment,BiomassAccumulation,Eutrophization,None,METHOD,TIMING,MOW,GRAZE,GRAZE_MET,MANAGEMENT_HET,OVERALL,SPEC_NUM,SUM_THREATS,HET_INN,SEGMENT_ID,BIOTOP,BIOTOP_SEZ,FSB,FSB_EVAL,HABITAT,STEJ_PR,SHAPE_Area,AREA_real,LENGTH_real,REPRE,ZACH,AREA_SITE,HET_OUT,NATURAL
112,65296918,Phengaris nausithous,modrásek bahenní,Motýli,jitka.fertova,20230726,20230726,NA,12671998,4956d-1,4956,Háj u Habartic,-6821839,-94771996,Kolektiv autorů (2022) Monitoring motýlů.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, vliv: nevhodná seč (vysoká intenzita, termín apod.), Perspektiva lokality: neznámá, Přítomnost rostlin: jednotlivě",NA,NA,1,20251009,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,2,1,NA,1,FALSE,0,2023,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,0,1,1,34850444,NA,-1 (100),-,-,NA,NA,768790.455141,13686.1698884759,0,NA,NA,13686.1698884759,1,0
6883,48053917,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20190711,20190711,NA,7187515,4956c191,4956,Černousy,-6860835,-94669496,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,0,10,0,jedinci,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ano, sta_pritomnostrostlin: jednotlivě, Perspektiva lokality: dobrá",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,2,1,NA,1,FALSE,1,2019,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,NA,0,0,0,0,1,34860179,NA,T1.5 (100),T,T,NA,NA,3362.13928726,0,0,NA,NA,0,1,0
6884,48053916,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20190711,20190711,NA,7187514,4956c192,4956,Černousy,-68616068,-9465358,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,0,25,0,jedinci,NA,NA,NA,NA,NA,NA,NA,0,pastva koni 2 ks,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč celoplošná: ne, sta_pritomnostrostlin: hojně, Perspektiva lokality: dobrá",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,2,1,NA,1,FALSE,1,2019,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,0,NA,1,0,0,0,1,34860204,T1.6,T1.6 (100),T,T,6430,100,3831.84591767,0,0,NA,NA,0,1,1
6885,48053915,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20190711,20190711,NA,7187513,4955b191,5055,Andělka,-6900176,-9478767,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ano, Seč celoplošná: ne, sta_pritomnostrostlin: jednotlivě, Perspektiva lokality: neznámá",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,2,1,NA,1,FALSE,0,2019,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,1,1,0,0,1,34860327,NA,-1 (100),-,-,NA,NA,6594799.18329,0,0,NA,NA,0,1,0
7255,48053537,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20190722,20190722,NA,7187156,5055b193,5055,Andělka,-68983946,-94794655,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,zarůstající louka bez managementu,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,sta_pritomnostrostlin: jednotlivě,NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,2,1,NA,1,FALSE,0,2019,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,1,34860325,T1.1,T1.1 (100),T,T,6510,100,20298.0420697,0,0,NA,NA,0,1,1
7256,48053536,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20190722,20190722,NA,7187155,5055b194,5055,Andělka,-69005061,-94789524,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ano, Seč celoplošná: ano, sta_pritomnostrostlin: jednotlivě",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,2,1,NA,1,FALSE,0,2019,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,1,0,0,0,1,34860327,NA,-1 (100),-,-,NA,NA,6594799.18329,0,0,NA,NA,0,1,0
7257,48053535,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20190722,20190722,NA,7187154,5055b195,5055,Andělka,-68975946,-94775975,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,0,1,0,jedinci,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,zarůstající louka bez managementu,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"sta_pritomnostrostlin: jednotlivě, Perspektiva lokality: neznámá",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,2,1,NA,1,FALSE,1,2019,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,1,34860071,NA,X1 (100),X,X,NA,NA,271456.82156,0,0,NA,NA,0,1,0
5832,49920270,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20200811,20200811,NA,7587639,5053c4,5053,Dolní Křečany,-72159554,-94934227,Kolektiv autorů (2020) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,0,1,0,jedinci,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, sta_pritomnostrostlin: jednotlivě",NA,NA,1,20200915,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,4,1,NA,1,FALSE,1,2020,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,0,0,1,34830309,NA,T1.5 (100),T,T,NA,NA,5765.54458273,0,0,NA,NA,0,1,0
5878,49920222,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20200730,20200730,NA,7587593,5053c1,5053,Dolní Křečany,-72158231,-94932559,Kolektiv autorů (2020) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, sta_pritomnostrostlin: jednotlivě",NA,NA,1,20200915,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,4,1,NA,1,FALSE,0,2020,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,0,0,1,34830309,NA,T1.5 (100),T,T,NA,NA,5765.54458273,0,0,NA,NA,0,1,0
5831,49920271,Phengaris nausithous,modrásek bahenní,Motýli,Waldhauser Martin,20200811,20200811,NA,7587640,5053c3,5053,Horní Jindřichov,-72039399,-95096072,Kolektiv autorů (2020) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"TTP s pravidelným managementem,příkop u komunikace",NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, sta_pritomnostrostlin: jednotlivě",NA,NA,1,20200915,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,5,1,NA,1,FALSE,0,2020,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,0,0,2,34870044,NA,-1 (100),-,-,NA,NA,19227250.7073,0,0,NA,NA,0,1,0
