ID_LOKAL,DRUH,PA_TYPE
7774853,Phengaris nausithous,EVL_any
10223487,Phengaris teleius,EVL_any
8655397,Phengaris teleius,EVL_any
7774853,Phengaris teleius,EVL_any
8574267,Phengaris nausithous,EVL_any
8574266,Phengaris nausithous,EVL_any
8110841,Phengaris nausithous,EVL_any
8574401,Phengaris nausithous,EVL_any
10505887,Phengaris nausithous,EVL_any
7642848,Phengaris nausithous,EVL_any
7536158,Phengaris nausithous,EVL_any
7642848,Phengaris teleius,EVL_any
11947046,Phengaris nausithous,EVL_any
9376551,Phengaris nausithous,EVL_any
9376552,Phengaris nausithous,EVL_any
9338520,Phengaris nausithous,EVL_any
9338489,Phengaris nausithous,EVL_any
8208750,Phengaris nausithous,EVL_any
8208738,Phengaris nausithous,EVL_any
12672032,Phengaris nausithous,EVL_any
12671302,Phengaris nausithous,EVL_any
12671439,Phengaris nausithous,EVL_any
8574003,Phengaris nausithous,EVL_any
8573999,Phengaris nausithous,EVL_any
8475662,Phengaris nausithous,EVL_any
8475661,Phengaris nausithous,EVL_any
7587601,Phengaris nausithous,EVL_any
7587558,Phengaris nausithous,EVL_any
5360857,Phengaris nausithous,EVL_any
5360857,Phengaris nausithous,EVL_any
12671758,Phengaris teleius,EVL_any
12671229,Phengaris teleius,EVL_any
12670904,Phengaris teleius,EVL_any
8574004,Phengaris teleius,EVL_any
8574000,Phengaris teleius,EVL_any
7587558,Phengaris teleius,EVL_any
5360857,Phengaris teleius,EVL_any
8574046,Phengaris nausithous,EVL_any
8574043,Phengaris nausithous,EVL_any
8318948,Phengaris nausithous,EVL_any
7187602,Phengaris nausithous,EVL_any
7187568,Phengaris nausithous,EVL_any
7187567,Phengaris nausithous,EVL_any
7187566,Phengaris nausithous,EVL_any
8574047,Phengaris teleius,EVL_any
8574044,Phengaris teleius,EVL_any
8318948,Phengaris teleius,EVL_any
7537480,Phengaris teleius,EVL_any
8769680,Phengaris nausithous,EVL_any
8769707,Phengaris nausithous,EVL_any
8574273,Phengaris nausithous,EVL_any
8574271,Phengaris nausithous,EVL_any
8574020,Phengaris nausithous,EVL_any
8574014,Phengaris nausithous,EVL_any
8318954,Phengaris nausithous,EVL_any
7029597,Phengaris nausithous,EVL_any
7029595,Phengaris nausithous,EVL_any
8574021,Phengaris teleius,EVL_any
8574015,Phengaris teleius,EVL_any
8318954,Phengaris teleius,EVL_any
12671581,Phengaris nausithous,EVL_any
10099649,Phengaris nausithous,EVL_any
10082713,Phengaris nausithous,EVL_any
9365969,Phengaris nausithous,EVL_any
8795995,Phengaris nausithous,EVL_any
8574058,Phengaris nausithous,EVL_any
8095243,Phengaris nausithous,EVL_any
8095243,Phengaris nausithous,EVL_any
7587642,Phengaris nausithous,EVL_any
7187780,Phengaris nausithous,EVL_any
9381660,Phengaris nausithous,EVL_any
9381605,Phengaris nausithous,EVL_any
9376665,Phengaris nausithous,EVL_any
8574012,Phengaris nausithous,EVL_any
8574010,Phengaris nausithous,EVL_any
8574007,Phengaris nausithous,EVL_any
7774921,Phengaris nausithous,EVL_any
7774895,Phengaris nausithous,EVL_any
8574013,Phengaris teleius,EVL_any
8574011,Phengaris teleius,EVL_any
8574008,Phengaris teleius,EVL_any
7774921,Phengaris teleius,EVL_any
7774895,Phengaris teleius,EVL_any
10769669,Phengaris nausithous,EVL_any
10769278,Phengaris nausithous,EVL_any
10769010,Phengaris nausithous,EVL_any
10085372,Phengaris nausithous,EVL_any
9628737,Phengaris nausithous,EVL_any
9487728,Phengaris nausithous,EVL_any
9369755,Phengaris nausithous,EVL_any
9369752,Phengaris nausithous,EVL_any
9367087,Phengaris nausithous,EVL_any
9367086,Phengaris nausithous,EVL_any
9363102,Phengaris nausithous,EVL_any
9363101,Phengaris nausithous,EVL_any
9256858,Phengaris nausithous,EVL_any
9256822,Phengaris nausithous,EVL_any
9256814,Phengaris nausithous,EVL_any
9256831,Phengaris nausithous,EVL_any
9256826,Phengaris nausithous,EVL_any
9256850,Phengaris nausithous,EVL_any
9256813,Phengaris nausithous,EVL_any
9256855,Phengaris nausithous,EVL_any
9256851,Phengaris nausithous,EVL_any
9256817,Phengaris nausithous,EVL_any
9256825,Phengaris nausithous,EVL_any
9256857,Phengaris nausithous,EVL_any
9256839,Phengaris nausithous,EVL_any
9256845,Phengaris nausithous,EVL_any
9256832,Phengaris nausithous,EVL_any
9255475,Phengaris nausithous,EVL_any
9255465,Phengaris nausithous,EVL_any
9255463,Phengaris nausithous,EVL_any
9255470,Phengaris nausithous,EVL_any
9255468,Phengaris nausithous,EVL_any
9255466,Phengaris nausithous,EVL_any
9255471,Phengaris nausithous,EVL_any
9255472,Phengaris nausithous,EVL_any
9255469,Phengaris nausithous,EVL_any
9255476,Phengaris nausithous,EVL_any
9255464,Phengaris nausithous,EVL_any
8799966,Phengaris nausithous,EVL_any
8636968,Phengaris nausithous,EVL_any
8611362,Phengaris nausithous,EVL_any
8574722,Phengaris nausithous,EVL_any
8574721,Phengaris nausithous,EVL_any
8574720,Phengaris nausithous,EVL_any
8574719,Phengaris nausithous,EVL_any
8574718,Phengaris nausithous,EVL_any
8574717,Phengaris nausithous,EVL_any
8574716,Phengaris nausithous,EVL_any
8574715,Phengaris nausithous,EVL_any
8574713,Phengaris nausithous,EVL_any
8574712,Phengaris nausithous,EVL_any
8574711,Phengaris nausithous,EVL_any
8574710,Phengaris nausithous,EVL_any
8574709,Phengaris nausithous,EVL_any
8574708,Phengaris nausithous,EVL_any
8574707,Phengaris nausithous,EVL_any
8574706,Phengaris nausithous,EVL_any
8574705,Phengaris nausithous,EVL_any
8574704,Phengaris nausithous,EVL_any
8574702,Phengaris nausithous,EVL_any
8574701,Phengaris nausithous,EVL_any
8574700,Phengaris nausithous,EVL_any
8574699,Phengaris nausithous,EVL_any
8574697,Phengaris nausithous,EVL_any
8574695,Phengaris nausithous,EVL_any
8574693,Phengaris nausithous,EVL_any
8574692,Phengaris nausithous,EVL_any
8574597,Phengaris nausithous,EVL_any
8307509,Phengaris nausithous,EVL_any
7945289,Phengaris nausithous,EVL_any
7945289,Phengaris nausithous,EVL_any
7945779,Phengaris nausithous,EVL_any
7945309,Phengaris nausithous,EVL_any
7789445,Phengaris nausithous,EVL_any
7775042,Phengaris nausithous,EVL_any
7774988,Phengaris nausithous,EVL_any
7774911,Phengaris nausithous,EVL_any
7774910,Phengaris nausithous,EVL_any
7774909,Phengaris nausithous,EVL_any
7774908,Phengaris nausithous,EVL_any
7774907,Phengaris nausithous,EVL_any
7774906,Phengaris nausithous,EVL_any
7774905,Phengaris nausithous,EVL_any
7774904,Phengaris nausithous,EVL_any
7774903,Phengaris nausithous,EVL_any
7666732,Phengaris nausithous,EVL_any
7639441,Phengaris nausithous,EVL_any
7640209,Phengaris nausithous,EVL_any
7552193,Phengaris nausithous,EVL_any
7187819,Phengaris nausithous,EVL_any
7187818,Phengaris nausithous,EVL_any
7187503,Phengaris nausithous,EVL_any
7187502,Phengaris nausithous,EVL_any
7187501,Phengaris nausithous,EVL_any
7187500,Phengaris nausithous,EVL_any
7187499,Phengaris nausithous,EVL_any
7187498,Phengaris nausithous,EVL_any
7187497,Phengaris nausithous,EVL_any
7187496,Phengaris nausithous,EVL_any
7187495,Phengaris nausithous,EVL_any
7187494,Phengaris nausithous,EVL_any
7187493,Phengaris nausithous,EVL_any
7187492,Phengaris nausithous,EVL_any
7187243,Phengaris nausithous,EVL_any
7187242,Phengaris nausithous,EVL_any
7187241,Phengaris nausithous,EVL_any
7187240,Phengaris nausithous,EVL_any
7187239,Phengaris nausithous,EVL_any
7187238,Phengaris nausithous,EVL_any
7187237,Phengaris nausithous,EVL_any
7187236,Phengaris nausithous,EVL_any
7187235,Phengaris nausithous,EVL_any
7187234,Phengaris nausithous,EVL_any
7187076,Phengaris nausithous,EVL_any
7187034,Phengaris nausithous,EVL_any
7187033,Phengaris nausithous,EVL_any
7187032,Phengaris nausithous,EVL_any
7187008,Phengaris nausithous,EVL_any
7033055,Phengaris nausithous,EVL_any
7031459,Phengaris nausithous,EVL_any
7031458,Phengaris nausithous,EVL_any
10769276,Phengaris teleius,EVL_any
10769276,Phengaris teleius,EVL_any
10769248,Phengaris teleius,EVL_any
10769252,Phengaris teleius,EVL_any
10769242,Phengaris teleius,EVL_any
10769242,Phengaris teleius,EVL_any
10769232,Phengaris teleius,EVL_any
10769102,Phengaris teleius,EVL_any
10769077,Phengaris teleius,EVL_any
10769010,Phengaris teleius,EVL_any
10769010,Phengaris teleius,EVL_any
10769001,Phengaris teleius,EVL_any
10767894,Phengaris teleius,EVL_any
10691166,Phengaris teleius,EVL_any
10688677,Phengaris teleius,EVL_any
1218356,Phengaris teleius,EVL_any
1218356,Phengaris teleius,EVL_any
1218356,Phengaris teleius,EVL_any
10071663,Phengaris teleius,EVL_any
9369752,Phengaris teleius,EVL_any
9256854,Phengaris teleius,EVL_any
9255474,Phengaris teleius,EVL_any
9255467,Phengaris teleius,EVL_any
9255473,Phengaris teleius,EVL_any
8799966,Phengaris teleius,EVL_any
8799966,Phengaris teleius,EVL_any
8574714,Phengaris teleius,EVL_any
8574703,Phengaris teleius,EVL_any
8574698,Phengaris teleius,EVL_any
8574696,Phengaris teleius,EVL_any
8574694,Phengaris teleius,EVL_any
8574691,Phengaris teleius,EVL_any
8573992,Phengaris teleius,EVL_any
7945289,Phengaris teleius,EVL_any
7945289,Phengaris teleius,EVL_any
7945289,Phengaris teleius,EVL_any
7945289,Phengaris teleius,EVL_any
7775042,Phengaris teleius,EVL_any
7774911,Phengaris teleius,EVL_any
7774910,Phengaris teleius,EVL_any
7774909,Phengaris teleius,EVL_any
7774908,Phengaris teleius,EVL_any
7774907,Phengaris teleius,EVL_any
7774906,Phengaris teleius,EVL_any
7774905,Phengaris teleius,EVL_any
7774904,Phengaris teleius,EVL_any
7774903,Phengaris teleius,EVL_any
7640209,Phengaris teleius,EVL_any
7584357,Phengaris teleius,EVL_any
7187078,Phengaris teleius,EVL_any
7187077,Phengaris teleius,EVL_any
7187034,Phengaris teleius,EVL_any
7187033,Phengaris teleius,EVL_any
7187032,Phengaris teleius,EVL_any
8238087,Phengaris nausithous,EVL_any
8238705,Phengaris nausithous,EVL_any
7778073,Phengaris nausithous,EVL_any
7778073,Phengaris nausithous,EVL_any
7555293,Phengaris nausithous,EVL_any
7533633,Phengaris nausithous,EVL_any
7449338,Phengaris nausithous,EVL_any
7322889,Phengaris nausithous,EVL_any
7187051,Phengaris nausithous,EVL_any
12692319,Phengaris teleius,EVL_any
8616422,Phengaris teleius,EVL_any
8238633,Phengaris teleius,EVL_any
7965293,Phengaris teleius,EVL_any
7778073,Phengaris teleius,EVL_any
7778073,Phengaris teleius,EVL_any
7775518,Phengaris teleius,EVL_any
7774117,Phengaris teleius,EVL_any
7322889,Phengaris teleius,EVL_any
7316825,Phengaris teleius,EVL_any
7187042,Phengaris teleius,EVL_any
7026236,Phengaris teleius,EVL_any
6957005,Phengaris teleius,EVL_any
8091540,Phengaris nausithous,EVL_any
8091540,Phengaris teleius,EVL_any
11947080,Phengaris nausithous,EVL_any
10682267,Phengaris nausithous,EVL_any
10682267,Phengaris nausithous,EVL_any
10234112,Phengaris nausithous,EVL_any
10234111,Phengaris nausithous,EVL_any
10233632,Phengaris nausithous,EVL_any
8795023,Phengaris nausithous,EVL_any
8558115,Phengaris nausithous,EVL_any
8219513,Phengaris nausithous,EVL_any
7187462,Phengaris nausithous,EVL_any
7187275,Phengaris nausithous,EVL_any
11947167,Phengaris teleius,EVL_any
10682267,Phengaris teleius,EVL_any
10682267,Phengaris teleius,EVL_any
10234112,Phengaris teleius,EVL_any
8795079,Phengaris teleius,EVL_any
8558115,Phengaris teleius,EVL_any
8219513,Phengaris teleius,EVL_any
7187127,Phengaris teleius,EVL_any
7187019,Phengaris teleius,EVL_any
9305228,Phengaris teleius,EVL_any
9305226,Phengaris teleius,EVL_any
10108193,Phengaris nausithous,EVL_any
7775091,Phengaris nausithous,EVL_any
7775090,Phengaris nausithous,EVL_any
7774997,Phengaris nausithous,EVL_any
7775091,Phengaris teleius,EVL_any
7775090,Phengaris teleius,EVL_any
7774997,Phengaris teleius,EVL_any
9235643,Phengaris nausithous,EVL_any
7774900,Phengaris nausithous,EVL_any
7774899,Phengaris nausithous,EVL_any
7774898,Phengaris nausithous,EVL_any
7774897,Phengaris nausithous,EVL_any
7774896,Phengaris nausithous,EVL_any
9361628,Phengaris teleius,EVL_any
7965415,Phengaris teleius,EVL_any
7956005,Phengaris teleius,EVL_any
7956002,Phengaris teleius,EVL_any
7774900,Phengaris teleius,EVL_any
7774899,Phengaris teleius,EVL_any
7774898,Phengaris teleius,EVL_any
7774897,Phengaris teleius,EVL_any
7774896,Phengaris teleius,EVL_any
7187039,Phengaris teleius,EVL_any
7187038,Phengaris teleius,EVL_any
6957772,Phengaris teleius,EVL_any
1835752,Phengaris teleius,EVL_any
6957772,Phengaris teleius,EVL_any
1835752,Phengaris teleius,EVL_any
12692811,Phengaris nausithous,EVL_any
12692673,Phengaris nausithous,EVL_any
12692517,Phengaris nausithous,EVL_any
12692514,Phengaris nausithous,EVL_any
11132078,Phengaris nausithous,EVL_any
11132078,Phengaris nausithous,EVL_any
11123164,Phengaris nausithous,EVL_any
10816578,Phengaris nausithous,EVL_any
10661701,Phengaris nausithous,EVL_any
10661701,Phengaris nausithous,EVL_any
10151103,Phengaris nausithous,EVL_any
10128865,Phengaris nausithous,EVL_any
10128864,Phengaris nausithous,EVL_any
10098567,Phengaris nausithous,EVL_any
9361646,Phengaris nausithous,EVL_any
8640850,Phengaris nausithous,EVL_any
8620574,Phengaris nausithous,EVL_any
8617411,Phengaris nausithous,EVL_any
8606607,Phengaris nausithous,EVL_any
8598232,Phengaris nausithous,EVL_any
8574654,Phengaris nausithous,EVL_any
8239915,Phengaris nausithous,EVL_any
8238193,Phengaris nausithous,EVL_any
8238193,Phengaris nausithous,EVL_any
8238791,Phengaris nausithous,EVL_any
8211921,Phengaris nausithous,EVL_any
8211921,Phengaris nausithous,EVL_any
8203581,Phengaris nausithous,EVL_any
7950805,Phengaris nausithous,EVL_any
7778167,Phengaris nausithous,EVL_any
7778093,Phengaris nausithous,EVL_any
7778075,Phengaris nausithous,EVL_any
7775611,Phengaris nausithous,EVL_any
7775611,Phengaris nausithous,EVL_any
7775983,Phengaris nausithous,EVL_any
7775995,Phengaris nausithous,EVL_any
7775139,Phengaris nausithous,EVL_any
7775089,Phengaris nausithous,EVL_any
7775088,Phengaris nausithous,EVL_any
7775087,Phengaris nausithous,EVL_any
7775081,Phengaris nausithous,EVL_any
7775080,Phengaris nausithous,EVL_any
7774996,Phengaris nausithous,EVL_any
7774981,Phengaris nausithous,EVL_any
7774151,Phengaris nausithous,EVL_any
7592171,Phengaris nausithous,EVL_any
7568161,Phengaris nausithous,EVL_any
7555292,Phengaris nausithous,EVL_any
7533631,Phengaris nausithous,EVL_any
7316868,Phengaris nausithous,EVL_any
7316868,Phengaris nausithous,EVL_any
7316861,Phengaris nausithous,EVL_any
7316527,Phengaris nausithous,EVL_any
7295350,Phengaris nausithous,EVL_any
7284487,Phengaris nausithous,EVL_any
7284487,Phengaris nausithous,EVL_any
7299880,Phengaris nausithous,EVL_any
7299880,Phengaris nausithous,EVL_any
7281940,Phengaris nausithous,EVL_any
7187088,Phengaris nausithous,EVL_any
7187063,Phengaris nausithous,EVL_any
7187061,Phengaris nausithous,EVL_any
7187059,Phengaris nausithous,EVL_any
7187057,Phengaris nausithous,EVL_any
7187056,Phengaris nausithous,EVL_any
7187055,Phengaris nausithous,EVL_any
7187054,Phengaris nausithous,EVL_any
7187053,Phengaris nausithous,EVL_any
7187049,Phengaris nausithous,EVL_any
7185085,Phengaris nausithous,EVL_any
7185085,Phengaris nausithous,EVL_any
7182178,Phengaris nausithous,EVL_any
12692811,Phengaris teleius,EVL_any
12692710,Phengaris teleius,EVL_any
12692673,Phengaris teleius,EVL_any
12692517,Phengaris teleius,EVL_any
12692514,Phengaris teleius,EVL_any
12692504,Phengaris teleius,EVL_any
11132078,Phengaris teleius,EVL_any
11132078,Phengaris teleius,EVL_any
11132078,Phengaris teleius,EVL_any
11123164,Phengaris teleius,EVL_any
10164527,Phengaris teleius,EVL_any
10151103,Phengaris teleius,EVL_any
10150132,Phengaris teleius,EVL_any
10150131,Phengaris teleius,EVL_any
10150117,Phengaris teleius,EVL_any
10128869,Phengaris teleius,EVL_any
10128868,Phengaris teleius,EVL_any
10128865,Phengaris teleius,EVL_any
10098567,Phengaris teleius,EVL_any
10098567,Phengaris teleius,EVL_any
9479306,Phengaris teleius,EVL_any
8585524,Phengaris teleius,EVL_any
9381118,Phengaris teleius,EVL_any
9363105,Phengaris teleius,EVL_any
9363103,Phengaris teleius,EVL_any
9363103,Phengaris teleius,EVL_any
9359972,Phengaris teleius,EVL_any
7392756,Phengaris teleius,EVL_any
8720077,Phengaris teleius,EVL_any
8620574,Phengaris teleius,EVL_any
8598381,Phengaris teleius,EVL_any
8598531,Phengaris teleius,EVL_any
8595054,Phengaris teleius,EVL_any
8595135,Phengaris teleius,EVL_any
8595304,Phengaris teleius,EVL_any
8595071,Phengaris teleius,EVL_any
8595070,Phengaris teleius,EVL_any
8595068,Phengaris teleius,EVL_any
8585530,Phengaris teleius,EVL_any
8564584,Phengaris teleius,EVL_any
8564575,Phengaris teleius,EVL_any
8475665,Phengaris teleius,EVL_any
8086776,Phengaris teleius,EVL_any
7966306,Phengaris teleius,EVL_any
7778167,Phengaris teleius,EVL_any
7778093,Phengaris teleius,EVL_any
7778075,Phengaris teleius,EVL_any
7775611,Phengaris teleius,EVL_any
7775611,Phengaris teleius,EVL_any
7775182,Phengaris teleius,EVL_any
7775198,Phengaris teleius,EVL_any
7775198,Phengaris teleius,EVL_any
7775194,Phengaris teleius,EVL_any
7775194,Phengaris teleius,EVL_any
7775188,Phengaris teleius,EVL_any
7775182,Phengaris teleius,EVL_any
7775161,Phengaris teleius,EVL_any
7775089,Phengaris teleius,EVL_any
7775088,Phengaris teleius,EVL_any
7775087,Phengaris teleius,EVL_any
7775081,Phengaris teleius,EVL_any
7775080,Phengaris teleius,EVL_any
7774996,Phengaris teleius,EVL_any
7774981,Phengaris teleius,EVL_any
7774151,Phengaris teleius,EVL_any
7774138,Phengaris teleius,EVL_any
7774117,Phengaris teleius,EVL_any
7774069,Phengaris teleius,EVL_any
7392732,Phengaris teleius,EVL_any
7392756,Phengaris teleius,EVL_any
7547951,Phengaris teleius,EVL_any
7547951,Phengaris teleius,EVL_any
7547948,Phengaris teleius,EVL_any
7547946,Phengaris teleius,EVL_any
7547946,Phengaris teleius,EVL_any
7547945,Phengaris teleius,EVL_any
7547945,Phengaris teleius,EVL_any
7533631,Phengaris teleius,EVL_any
7364875,Phengaris teleius,EVL_any
7361645,Phengaris teleius,EVL_any
7322900,Phengaris teleius,EVL_any
7322896,Phengaris teleius,EVL_any
7316880,Phengaris teleius,EVL_any
7316868,Phengaris teleius,EVL_any
7316865,Phengaris teleius,EVL_any
7316861,Phengaris teleius,EVL_any
7316527,Phengaris teleius,EVL_any
7316527,Phengaris teleius,EVL_any
7316527,Phengaris teleius,EVL_any
7295350,Phengaris teleius,EVL_any
7284487,Phengaris teleius,EVL_any
7284487,Phengaris teleius,EVL_any
7187062,Phengaris teleius,EVL_any
7187060,Phengaris teleius,EVL_any
7187058,Phengaris teleius,EVL_any
7185085,Phengaris teleius,EVL_any
7184900,Phengaris teleius,EVL_any
9305549,Phengaris nausithous,EVL_any
