"DRUH","YEAR","n()","mean_positive"
"Phengaris nausithous",2019,771,0.535667963683528
"Phengaris nausithous",2020,683,0.445095168374817
"Phengaris nausithous",2021,538,0.429368029739777
"Phengaris nausithous",2022,563,0.571936056838366
"Phengaris nausithous",2023,291,0.415807560137457
"Phengaris nausithous",2024,370,0.210810810810811
"Phengaris teleius",2019,211,0.18957345971564
"Phengaris teleius",2020,408,0.149509803921569
"Phengaris teleius",2021,173,0.23121387283237
"Phengaris teleius",2022,282,0.131205673758865
"Phengaris teleius",2023,118,0.11864406779661
"Phengaris teleius",2024,132,0.0757575757575758
