"NAZ_LOKAL","roky"
"5848d1",4
"7151a1",4
"5359a1",3
"5848c1",3
"5947a1",3
"5947b1",3
"6073d1",3
"7051c1",3
"7151a2",3
"7151a3",3
"7151a5",3
"7254b1",3
"7254b2",3
"5352c1",2
"5353c1",2
"5359a2",2
"5359d1",2
"5457d1",2
"5459b1",2
"5556a1",2
"5556b1",2
"5848b1",2
"5854a1",2
"5857d2",2
"5857d4",2
"5872a1",2
"5947a2",2
"5947a3",2
"5947c1",2
"5948b1",2
"5948b2",2
"5950c1",2
"5950d1",2
"5950d2",2
"5951b1",2
"5952d1",2
"5970b1",2
"5971a1",2
"6048d",2
"6071c1",2
"6072d1",2
"6072d2",2
"6072d3",2
"6073a1",2
"6073a2",2
"6073c1",2
"6073d2",2
"6073d3",2
"6073d5",2
"6074d1",2
"6075c1",2
"6152a1",2
"6155a1",2
"6155a2",2
"6155a3",2
"6170c1",2
"6170c2",2
"6171d1",2
"6171d2",2
"6171d3",2
"6171d4",2
"6172a1",2
"6172a2",2
"6172a3",2
"6173b1",2
"6173b2",2
"6272d1",2
"6273c1",2
"6274a1",2
"6274a2",2
"6445d01",2
"6445d02",2
"6445d03",2
"6445d04",2
"6445d05",2
"6464d2",2
"6464d3",2
"6466a2",2
"6466c2",2
"6466c3",2
"6474b1",2
"6541b01",2
"6542a01",2
"6542a02",2
"6542a03",2
"6542b01",2
"6545c01",2
"6545c02",2
"6545c03",2
"6545c04",2
"6545c05",2
"6545c06",2
"6564a2",2
"6575a1",2
"6674",2
"6676c1",2
"6872a1",2
"6972d2",2
"7051c16",2
"7051c19",2
"7051c2",2
"7051c20",2
"7051c3",2
"7051c4",2
"7051c5",2
"7051c9",2
"7051d1",2
"7051d2",2
"7051d3",2
"7151a4",2
"7152c1",2
"7152c2",2
"7154a1",2
"7154a2",2
"Arnoldov",2
"Kladruby u Støíbra, pod klášterem",2
"Kladruby u Støíbra, u høištì",2
"Konojedy",2
"Kotvina, pod Šumburkem",2
"Maseèín",2
"PP Farská louka",2
"Suchá",2
"Øeèice",2
"0000 Novı Fojtov, Horní",1
"0000 Novı Fojtov, v zatáèce",1
"01f19bfa-0842-417d-8bcf-51e2ac481392",1
"054ff1da-6c1b-4efb-8a89-a30135b451be",1
"115214f2-ab9f-4cbd-8291-5fdfcb3fe6cf",1
"18780081-5e56-4735-b39c-c3d27d21c107",1
"20b28ca0-c426-45fb-be2b-3a4cb76281ac",1
"31606da4-8d7c-431b-88e6-b4f1a5d551a5",1
"347527a8-4315-44cd-98cd-1873e6c02712",1
"3ec046a0-7f25-44aa-93bf-690f359ebba5",1
"3ef2a1ea-0201-4dac-8ae5-2da98dd2331e",1
"4955b191",1
"4956c191",1
"4956c192",1
"4956d-1",1
"4b210822-ce4a-4323-b451-9ec41463692c",1
"4f55484b-b032-4cb9-9612-14ce87a267a9",1
"5053c1",1
"5053c3",1
"5053c4",1
"5053d1",1
"5055b193",1
"5055b194",1
"5055b195",1
"5056a191",1
