"POSITIVE","DRUH","MANAGEMENT","COUNT"
0,"Phengaris nausithous","appropriate mow and appropriate timing",330
0,"Phengaris nausithous","appropriate mow only",97
0,"Phengaris nausithous","appropriate timing only",229
0,"Phengaris nausithous","inappropriate mow and inappropriate timing",287
0,"Phengaris nausithous",NA,804
0,"Phengaris teleius","appropriate mow and appropriate timing",247
0,"Phengaris teleius","appropriate mow only",44
0,"Phengaris teleius","appropriate timing only",161
0,"Phengaris teleius","inappropriate mow and inappropriate timing",134
0,"Phengaris teleius",NA,536
1,"Phengaris nausithous","appropriate mow and appropriate timing",365
1,"Phengaris nausithous","appropriate mow only",61
1,"Phengaris nausithous","appropriate timing only",268
1,"Phengaris nausithous","inappropriate mow and inappropriate timing",116
1,"Phengaris nausithous",NA,659
1,"Phengaris teleius","appropriate mow and appropriate timing",61
1,"Phengaris teleius","appropriate mow only",5
1,"Phengaris teleius","appropriate timing only",33
1,"Phengaris teleius","inappropriate mow and inappropriate timing",13
1,"Phengaris teleius",NA,90
