"EVL","EVL_target","EVL_comb","MZCHU","POSITIVE","DRUH","COUNT"
0,0,0,0,0,"Phengaris nausithous",1469
0,0,0,0,0,"Phengaris teleius",943
0,0,0,0,1,"Phengaris nausithous",1169
0,0,0,0,1,"Phengaris teleius",113
1,0,0.5,0,0,"Phengaris nausithous",160
1,0,0.5,0,0,"Phengaris teleius",101
1,0,0.5,0,1,"Phengaris nausithous",166
1,0,0.5,0,1,"Phengaris teleius",47
1,1,1,0,0,"Phengaris nausithous",118
1,1,1,0,0,"Phengaris teleius",78
1,1,1,0,1,"Phengaris nausithous",134
1,1,1,0,1,"Phengaris teleius",42
