"BIOTOP","AREA","mean_area","median_area","COUNT"
"-1",157.464791524732,1280.20155711164,25.1097440633093,1230
"T1.1",6.76137878058738,447.773429177972,0,151
"T1.6",0.282267285937784,100.80974497778,0,28
"T1.9",0.241483344440954,114.992068781407,0,21
"L2.2",0.409214553308643,292.296109506174,0,14
"R2.2",0,0,0,4
"T1.2",0.31753196260843,793.829906521075,82.2668860065751,4
"L5.1",6.53784997506591e-05,0.217928332502197,0,3
"T2.3B",0,0,0,3
"L2.4",0.0341234719017986,170.617359508993,170.617359508993,2
"R2.1",0,0,0,2
"L10.2",0,0,0,1
"L2.3",0.000951457537642273,9.51457537642273,9.51457537642273,1
"L3.1",0,0,0,1
"L3.3B",0,0,0,1
"L4",0.00409299790573714,40.9299790573714,40.9299790573714,1
"V1F",0,0,0,1
"V4A",0,0,0,1
