"model","label","group","engine","n_obs","AIC","BIC","logLik","deviance","df","status"
"nau_null","Null model with year and site random effects","Baseline","glmer",3216,4310.62354607407,4328.85122696497,-2152.31177303704,3901.91638457849,3,"ok"
"nau_year_factor","Year as a factor","Baseline","glm",3216,4295.57947726522,4332.03483904701,-2141.78973863261,4283.57947726522,6,"ok"
"nau_year_linear","Year as a linear trend","Baseline","glm",3216,4383.19726445433,4395.34905171493,-2189.59863222717,4379.19726445433,2,"ok"
"nau_year_poly","Year as a quadratic trend","Baseline","glm",3216,4360.64297449137,4378.87065538227,-2177.32148724569,4354.64297449137,3,"ok"
"nau_spatial","Spatial position","Baseline","glm",3216,4425.69447217762,4437.84625943821,-2210.84723608881,4421.69447217762,2,"ok"
"nau_spatiotemporal","Year and spatial position","Baseline","glm",3216,4279.44579160338,4321.97704701547,-2132.72289580169,4265.44579160338,7,"ok"
"nau_area_null","Null model on records with a positive site area","Habitat","glmer",1805,2318.38215782827,2334.87710544057,-1156.19107891413,1986.09664221138,3,"ok"
"nau_area","Site area","Habitat","glmer",1805,2318.55389176068,2340.54715524375,-1155.27694588034,1989.37793258967,4,"ok"
"nau_area_null_glm","Intercept-only model on records with a known site area","Habitat","glm",3216,4436.261552875,4442.3374465053,-2217.1307764375,4434.261552875,1,"ok"
"nau_area_poly","Site area, quadratic","Habitat","glmer",1805,2320.25747029535,2347.74904964918,-1155.12873514767,1989.48729288897,5,"ok"
"nau_plant","Host plant abundance","Habitat","glmer",1805,2267.29550614205,2289.28876962512,-1129.64775307103,1889.93044386137,4,"ok"
"nau_plant_poly","Host plant abundance, quadratic","Habitat","glmer",3216,4182.28840639069,4212.66787454218,-2086.14420319534,3730.0223803935,5,"ok"
"nau_resource_density","Site area by host plant abundance","Habitat","glmer",1805,2268.73173882172,2301.72163404633,-1128.36586941086,1887.75959506175,6,"ok"
"nau_mow_null","Null model on records where mowing was assessed","Management","glmer",1753,2363.42783466468,2379.83508631944,-1178.71391733234,2084.5040478702,3,"ok"
"nau_timing","Mowing timing","Management","glmer",1753,2296.03878365511,2317.91511919479,-1144.01939182755,1980.88226948382,4,"ok"
"nau_method","Mowing method","Management","glmer",1753,2356.08276928848,2377.95910482817,-1174.04138464424,2072.24628618098,4,"ok"
"nau_method_timing","Mowing method by timing (selected management model)","Management","glmer",1753,2294.86936954348,2327.683872853,-1141.43468477174,1968.99010327027,6,"ok"
"nau_mow_null_glm","Intercept-only model on records where mowing was assessed","Management","glm",1753,2422.07361026744,2427.54269415236,-1210.03680513372,2420.07361026744,1,"ok"
"nau_graze_null","Null model on records where grazing was assessed","Management","glmer",77,111.547620734288,118.579036999849,-52.7738103671442,95.7344891549102,3,"ok"
"nau_graze","Grazing present","Management","glmer",3216,4312.44952814744,4336.75310266864,-2152.22476407372,3900.71212547915,4,"ok"
"nau_graze_method","Grazing intensity","Management","glmer",77,113.186548043083,122.561769730497,-52.5932740215414,95.6236364511767,4,"ok"
"nau_management_het","Mowing timing by method by within-site heterogeneity","Management","glmer",1753,2300.60425500448,2355.29509385369,-1140.30212750224,1964.74261841466,10,"fitted with warnings"
"nau_protect","Any protection","Conservation","glmer",3216,4300.45624388221,4324.75981840341,-2146.2281219411,3881.02537441523,4,"ok"
"nau_evl","Natura 2000 membership","Conservation","glmer",3216,4301.58781709202,4325.89139161321,-2146.79390854601,3884.63233713232,4,"ok"
"nau_evl_target","Natura 2000 designated for Phengaris","Conservation","glmer",3216,4306.62492957529,4330.92850409648,-2149.31246478764,3891.7407241624,4,"ok"
"nau_evl_combined","Natura 2000 membership and designation (selected protection model)","Conservation","glmer",3216,4303.32988333224,4333.70935148373,-2146.66494166612,3883.84806949404,5,"ok"
"nau_evl_year","Natura 2000 membership by year","Conservation","glmer",3216,4373.27907405128,4403.65854220277,-2181.63953702564,3971.12740246178,5,"fitted with warnings"
"nau_mzchu","Small-scale protected area","Conservation","glmer",3216,4312.35815126396,4336.66172578516,-2152.17907563198,3900.38064790969,4,"ok"
"nau_mzchu_evl","Small-scale protected area by Natura 2000","Conservation","glmer",3216,4301.94069130973,4338.39605309152,-2144.97034565487,3880.59418037778,6,"ok"
"nau_ttp","Regularly managed grassland","Conservation","glmer",3195,4283.39885676178,4307.67622622903,-2137.69942838089,3871.06423107501,4,"ok"
"nau_management_ttp","Mowing timing by method by grassland type","Conservation","glmer",1752,2291.90962701075,2330.18921991123,-1138.95481350538,1964.49046116189,7,"fitted with warnings"
"nau_fsb","Habitat quality evaluation","Conservation","glmer",3216,4299.41882846639,4366.25365839968,-2138.70941423319,3873.30808465607,11,"ok"
"nau_het_inner","Within-site habitat heterogeneity","Conservation","glmer",3216,4313.87012355769,4344.24959170919,-2151.93506177885,3900.17563034305,5,"ok"
"nau_het_outer","Between-habitat heterogeneity","Conservation","glmer",3216,4310.01576390342,4334.31933842461,-2151.00788195171,3898.84740317251,4,"ok"
"nau_threats","Number of threats and pressures","Conservation","glmer",1805,2313.23347750059,2335.22674098366,-1152.6167387503,1968.55927064456,4,"ok"
