"model","label","engine","formula"
"nau_null","Null model with year and site random effects","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"nau_year_factor","Year as a factor","glm","as.factor(POSITIVE) ~ as.factor(YEAR)"
"nau_year_linear","Year as a linear trend","glm","as.factor(POSITIVE) ~ as.numeric(YEAR)"
"nau_year_poly","Year as a quadratic trend","glm","as.factor(POSITIVE) ~ poly(as.numeric(YEAR), 2)"
"nau_spatial","Spatial position","glm","as.factor(POSITIVE) ~ X:Y"
"nau_spatiotemporal","Year and spatial position","glm","as.factor(POSITIVE) ~ as.factor(YEAR) + X:Y"
"nau_area_null","Null model on records with a positive site area","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"nau_area","Site area","glmer","as.factor(POSITIVE) ~ log10(AREA_SITE) + (1 | YEAR) + (1 | X:Y)"
"nau_area_null_glm","Intercept-only model on records with a known site area","glm","as.factor(POSITIVE) ~ 1"
"nau_area_poly","Site area, quadratic","glmer","as.factor(POSITIVE) ~ poly(log10(AREA_SITE), 2) + (1 | YEAR) +      (1 | X:Y)"
"nau_plant","Host plant abundance","glmer","as.factor(POSITIVE) ~ PLANT_QUANT + (1 | YEAR) + (1 | X:Y)"
"nau_plant_poly","Host plant abundance, quadratic","glmer","as.factor(POSITIVE) ~ poly(PLANT_QUANT, 2) + (1 | YEAR) + (1 |      X:Y)"
"nau_resource_density","Site area by host plant abundance","glmer","as.factor(POSITIVE) ~ log(AREA_SITE) * as.numeric(PLANT_QUANT) +      (1 | YEAR) + (1 | X:Y)"
"nau_mow_null","Null model on records where mowing was assessed","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"nau_timing","Mowing timing","glmer","as.factor(POSITIVE) ~ as.factor(TIMING) + (1 | YEAR) + (1 | X:Y)"
"nau_method","Mowing method","glmer","as.factor(POSITIVE) ~ as.factor(METHOD) + (1 | YEAR) + (1 | X:Y)"
"nau_method_timing","Mowing method by timing (selected management model)","glmer","as.factor(POSITIVE) ~ as.factor(METHOD) * as.factor(TIMING) +      (1 | YEAR) + (1 | X:Y)"
"nau_mow_null_glm","Intercept-only model on records where mowing was assessed","glm","as.factor(POSITIVE) ~ 1"
"nau_graze_null","Null model on records where grazing was assessed","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"nau_graze","Grazing present","glmer","as.factor(POSITIVE) ~ as.factor(GRAZE) + (1 | YEAR) + (1 | X:Y)"
"nau_graze_method","Grazing intensity","glmer","as.factor(POSITIVE) ~ as.factor(GRAZE_MET) + (1 | YEAR) + (1 |      X:Y)"
"nau_management_het","Mowing timing by method by within-site heterogeneity","glmer","as.factor(POSITIVE) ~ as.factor(TIMING) * as.factor(METHOD) *      HET_INN + (1 | YEAR) + (1 | X:Y)"
"nau_protect","Any protection","glmer","as.factor(POSITIVE) ~ as.factor(PROTECT) + (1 | YEAR) + (1 |      X:Y)"
"nau_evl","Natura 2000 membership","glmer","as.factor(POSITIVE) ~ as.factor(EVL) + (1 | YEAR) + (1 | X:Y)"
"nau_evl_target","Natura 2000 designated for Phengaris","glmer","as.factor(POSITIVE) ~ as.factor(EVL_target) + (1 | YEAR) + (1 |      X:Y)"
"nau_evl_combined","Natura 2000 membership and designation (selected protection model)","glmer","as.factor(POSITIVE) ~ as.factor(EVL) + as.factor(EVL_target) +      (1 | YEAR) + (1 | X:Y)"
"nau_evl_year","Natura 2000 membership by year","glmer","as.factor(POSITIVE) ~ as.factor(EVL) * as.numeric(YEAR) + (1 |      X:Y)"
"nau_mzchu","Small-scale protected area","glmer","as.factor(POSITIVE) ~ as.factor(MZCHU) + (1 | YEAR) + (1 | X:Y)"
"nau_mzchu_evl","Small-scale protected area by Natura 2000","glmer","as.factor(POSITIVE) ~ as.factor(MZCHU) * as.factor(EVL) + (1 |      YEAR) + (1 | X:Y)"
"nau_ttp","Regularly managed grassland","glmer","as.factor(POSITIVE) ~ as.factor(TTP) + (1 | YEAR) + (1 | X:Y)"
"nau_management_ttp","Mowing timing by method by grassland type","glmer","as.factor(POSITIVE) ~ as.factor(TIMING) * as.factor(METHOD) *      as.factor(TTP) + (1 | YEAR) + (1 | X:Y)"
"nau_fsb","Habitat quality evaluation","glmer","as.factor(POSITIVE) ~ as.factor(FSB) + (1 | YEAR) + (1 | X:Y)"
"nau_het_inner","Within-site habitat heterogeneity","glmer","as.factor(POSITIVE) ~ HET_INN + (1 | YEAR) + (1 | YEAR) + (1 |      X:Y)"
"nau_het_outer","Between-habitat heterogeneity","glmer","as.factor(POSITIVE) ~ as.numeric(HET_OUT) + (1 | YEAR) + (1 |      X:Y)"
"nau_threats","Number of threats and pressures","glmer","as.factor(POSITIVE) ~ SUM_THREATS + (1 | YEAR) + (1 | X:Y)"
