"model","label","term","estimate","std_error","statistic","p_value"
"tel_null","Null model with year and site random effects","(Intercept)",-1.89521921836391,0.214979455121019,-8.81581552663732,1.18816981276946e-18
"tel_null_glm","Intercept-only model","(Intercept)",-1.71460037336851,0.0764258366462766,-22.4348263441881,1.80010661714088e-111
"tel_year_factor","Year as a factor","(Intercept)",-1.45278410238872,0.175635854017262,-8.27156909685386,1.32207371844499e-16
"tel_year_factor","Year as a factor","as.factor(YEAR)2020",-0.285666813384833,0.223882201659102,-1.27596928772305,0.201966376015557
"tel_year_factor","Year as a factor","as.factor(YEAR)2021",0.251314428280883,0.251727531686182,0.99835892640534,0.318105343052813
"tel_year_factor","Year as a factor","as.factor(YEAR)2022",-0.437556195511783,0.248910853311633,-1.75788315250347,0.0787673929939823
"tel_year_factor","Year as a factor","as.factor(YEAR)2023",-0.552549467137428,0.334502480178863,-1.65185461955909,0.0985641910246038
"tel_year_factor","Year as a factor","as.factor(YEAR)2024",-1.04865184934943,0.372886749526547,-2.81225291775828,0.00491958036726698
"tel_year_linear","Year as a linear trend","(Intercept)",299.162489848539,104.359776122422,2.86664556943471,0.00414847323722552
"tel_year_linear","Year as a linear trend","as.numeric(YEAR)",-0.148879719536778,0.051642266372562,-2.88290445006261,0.00394026941400727
"tel_year_poly","Year as a quadratic trend","(Intercept)",-1.7411346801382,0.078472772382912,-22.1877554120586,4.50945818364554e-109
"tel_year_poly","Year as a quadratic trend","poly(as.numeric(YEAR), 2)1",-9.28807986557777,3.13041135915662,-2.96704771352482,0.00300674294829292
"tel_year_poly","Year as a quadratic trend","poly(as.numeric(YEAR), 2)2",-4.63154248391773,3.04098572019343,-1.52303986604157,0.127748731855763
"tel_spatial","Spatial position","(Intercept)",-1.67460371156174,0.170936456092628,-9.79664461192703,1.1638772360848e-22
"tel_spatial","Spatial position","X:Y",-6.57358216586251e-18,2.52147022971543e-17,-0.260704333860185,0.794320523672262
"tel_spatiotemporal","Year and spatial position, 2018 excluded","(Intercept)",300.325927793069,104.44096408664,2.87555683174212,0.00403315532771732
"tel_spatiotemporal","Year and spatial position, 2018 excluded","as.numeric(YEAR)",-0.149429248644591,0.0516801346228729,-2.89142529784464,0.00383498752034612
"tel_spatiotemporal","Year and spatial position, 2018 excluded","X:Y",-8.68979637658967e-18,2.49767439972681e-17,-0.347915500016341,0.727903644313244
"tel_mapping_field","Mapping field as a fixed effect","(Intercept)",-21.5661150571776,29233.174651197,-0.000737727438586439,0.999411378720063
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5056",43.1321836924634,35802.8804265328,0.00120471267056208,0.999038778592464
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5152",22.2592622377387,29233.1746768544,0.000761438416586434,0.999392460102111
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5153",4.65361698932431e-05,31575.3237825914,1.47381449557455e-09,0.999999998824066
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5154",4.65338240248522e-05,41341.4311949791,1.12559780055471e-09,0.999999999101903
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5155",4.65365061824696e-05,30336.6444293282,1.53400308629652e-09,0.999999998776043
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5156",21.5661150571783,29233.1746854058,0.00073772743772317,0.999411378720752
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5250",21.2296428205561,29233.174657061,0.000726217493296723,0.999420562325245
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5252",22.2592622377361,29233.1746768511,0.000761438416586433,0.999392460102111
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5253",4.65372253266738e-05,30532.9910046349,1.52416202263347e-09,0.999999998783895
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5254",20.4675027685095,29233.1746740025,0.000700146425995656,0.999441364022038
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5255",4.65349008735523e-05,30426.7938848016,1.52940533431611e-09,0.999999998779711
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5256",4.65336361862718e-05,33755.3498573947,1.3785558847075e-09,0.999999998900072
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5257",21.5661150571785,29233.1746854061,0.000737727437723169,0.999411378720752
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5351",43.1321835914452,41341.4312953276,0.00104331616588998,0.999167554290221
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5352",21.8537971296295,29233.1746611746,0.000747568383623218,0.99940352678412
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5353",23.6455565988587,29233.1746704404,0.000808860374058799,0.999354622866067
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5354",20.4675027685091,29233.1746568979,0.000700146426405304,0.999441364021711
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5355",4.65344627948552e-05,30336.6444233945,1.5339357295222e-09,0.999999998776096
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5356",4.65340768043209e-05,41341.4311790002,1.12560391542416e-09,0.999999999101898
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5357",4.65342677320382e-05,30659.9419979354,1.5177545911591e-09,0.999999998789007
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5361",4.65343146127344e-05,31006.3772329694,1.50079818300262e-09,0.999999998802536
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5445",4.65345622341496e-05,35802.8799929631,1.2997435469799e-09,0.999999998962955
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5453",4.65289984519058e-05,35802.8800042333,1.29958814616043e-09,0.999999998963079
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5454",19.486673515498,29233.1746704394,0.0006665945021429,0.999468134577813
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5455",4.65355570206671e-05,31575.3237850594,1.47379508560057e-09,0.999999998824082
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5456",20.8729678766173,29233.1746768523,0.000714016459291542,0.99943029733938
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5457",4.65340428673423e-05,30426.7938857458,1.52937713523417e-09,0.999999998779734
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5458",4.65344663220928e-05,30080.6464402085,1.54699023555194e-09,0.99999999876568
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5459",4.65347221378015e-05,32023.2038747707,1.453156352493e-09,0.999999998840549
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5545",4.65341732952777e-05,31575.323783198,1.47375126268823e-09,0.999999998824117
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5552",4.65333536327902e-05,35802.8799906969,1.29970978996331e-09,0.999999998962982
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5553",4.65337718216911e-05,35802.8799990666,1.29972146997404e-09,0.999999998962972
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5554",4.65342191376162e-05,31251.4798107921,1.48902450121887e-09,0.99999999881193
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5555",4.653432461096e-05,30336.6444238875,1.53393117448146e-09,0.9999999987761
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5556",4.6534974026346e-05,32683.5181401968,1.42380553484888e-09,0.999999998863968
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5557",4.65346503047994e-05,32023.2038750984,1.45315410932337e-09,0.999999998840551
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5558",4.65343767305568e-05,31575.3237838907,1.47375770551236e-09,0.999999998824112
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5642",21.2784329847259,29233.1746611746,0.000727886493046081,0.999419230656465
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5643",4.65342242512507e-05,30426.7938851544,1.52938309658565e-09,0.999999998779729
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5644",4.65342570992726e-05,29921.0739042343,1.55523352030113e-09,0.999999998759103
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5652",4.65340388886682e-05,32683.5181405708,1.42377692292876e-09,0.99999999886399
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5653",21.5661150571779,29233.1746854052,0.000737727437723174,0.999411378720752
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5655",4.65343102324445e-05,35802.8799940498,1.29973650835291e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5656",4.65342018475116e-05,33755.3498569239,1.37857264240342e-09,0.999999998900058
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5742",21.0552894334125,29233.1746603206,0.000720253262879169,0.999425321091368
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5743",19.4260488936824,29233.1746607566,0.000664520672801252,0.99946978925386
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5744",4.65345324359137e-05,33755.3498554167,1.37858243612446e-09,0.99999999890005
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5753",4.65344586515146e-05,41341.4311712896,1.12561315206309e-09,0.999999999101891
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5754",4.6534354045272e-05,30532.9909999379,1.5240679842131e-09,0.99999999878397
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5755",4.65355074097003e-05,41341.4311664755,1.12563852040606e-09,0.99999999910187
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5757",4.65357622159462e-05,41341.4311633905,1.12564468394978e-09,0.999999999101865
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5758",4.65341279270807e-05,32023.2038758294,1.45313779681501e-09,0.999999998840564
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5843",43.1321835759758,41341.4311011665,0.00104331617041576,0.99916755428661
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5844",20.8729678766178,29233.1746768532,0.000714016459291541,0.99943029733938
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5853",4.65354919834253e-05,41341.4311665338,1.12563814726124e-09,0.999999999101871
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5854",20.8729678766173,29233.1746768524,0.00071401645929154,0.99943029733938
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5855",4.65343558055425e-05,30814.3940624275,1.51014995496155e-09,0.999999998795075
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5856",4.65343959857579e-05,33755.3498567176,1.37857839374452e-09,0.999999998900054
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5857",4.65342227125777e-05,32023.2038759464,1.4531407567102e-09,0.999999998840561
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5866",4.65345305177304e-05,32023.2038751838,1.453150368686e-09,0.999999998840554
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5867",4.65333451658578e-05,41341.4311815618,1.12558621789106e-09,0.999999999101912
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5943",4.65345429641596e-05,32023.2038750473,1.45315075736128e-09,0.999999998840553
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5944",4.65339334527732e-05,41341.4311752255,1.12560044802366e-09,0.999999999101901
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5952",4.65342207445182e-05,33755.3498574256,1.3785732022055e-09,0.999999998900058
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5953",4.65343065853205e-05,31575.3237843867,1.47375548396849e-09,0.999999998824113
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5957",4.65343435392874e-05,35802.8799938081,1.29973743864559e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5960",4.65343043918462e-05,35802.8799940078,1.29973634522235e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)5967",43.1321835974493,41341.4313554941,0.00104331616451682,0.999167554291317
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6052",4.65340245211913e-05,31251.4798110435,1.48901827377618e-09,0.999999998811935
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6058",4.65339796768132e-05,41341.4311741107,1.12560156615851e-09,0.9999999991019
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6059",4.65343582312527e-05,31006.3772327831,1.50079958977122e-09,0.999999998802535
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6060",4.65339905684777e-05,31575.3237851471,1.47374547558455e-09,0.999999998824121
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6065",4.65339786576069e-05,41341.4311739263,1.12560154151014e-09,0.9999999991019
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6066",4.65344695864347e-05,31575.3237840596,1.47376064627806e-09,0.999999998824109
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6067",43.1321835919132,41341.4312995411,0.00104331616579497,0.999167554290297
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6073",4.65334904624324e-05,35802.8799941554,1.29971361158735e-09,0.999999998962979
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6074",4.65343233110567e-05,41341.4311741871,1.12560987825966e-09,0.999999999101893
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6146",4.65342840507721e-05,29790.0192605807,1.56207633314115e-09,0.999999998753643
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6147",4.65343584955591e-05,31006.3772327432,1.50079959829741e-09,0.999999998802535
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6148",18.3472392323098,29233.1746689856,0.000627617063150345,0.999499234068091
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6149",4.6534335377403e-05,30336.6444238981,1.53393152937986e-09,0.9999999987761
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6151",20.8729678766184,29233.174676854,0.00071401645929154,0.99943029733938
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6152",4.65342796776371e-05,32683.5181402083,1.42378429023494e-09,0.999999998863984
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6158",4.65344581452204e-05,35802.8799932106,1.29974063969281e-09,0.999999998962957
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6159",4.65347244328486e-05,30659.9419975496,1.5177694868623e-09,0.999999998788995
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6160",4.65347711595576e-05,32683.5181399994,1.42379932785163e-09,0.999999998863973
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6161",4.65348026481904e-05,32683.5181398785,1.42380029129763e-09,0.999999998863972
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6165",4.6533996688919e-05,33755.3498578872,1.37856656455439e-09,0.999999998900063
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6166",4.65343205611913e-05,30080.6464402563,1.54698538987897e-09,0.999999998765684
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6167",4.65342879909715e-05,33755.3498566598,1.37857519440849e-09,0.999999998900056
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6171",4.65344279357206e-05,35802.8799932997,1.29973979591668e-09,0.999999998962958
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6172",4.65342832083901e-05,32683.5181401824,1.42378439826461e-09,0.999999998863984
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6173",4.65341534181672e-05,32683.5181405585,1.42378042712669e-09,0.999999998863988
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6174",4.65343613360594e-05,31575.3237840742,1.47375721795544e-09,0.999999998824112
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6243",4.65343956797201e-05,30814.3940624551,1.51015124897161e-09,0.999999998795074
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6244",4.65343056566068e-05,29992.5665658364,1.55152796125199e-09,0.99999999876206
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6245",4.65343383028968e-05,30132.8220491005,1.54430734124638e-09,0.999999998767821
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6246",4.65345481689481e-05,35802.8799929457,1.29974315412941e-09,0.999999998962955
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6247",4.65343599024685e-05,30426.793885035,1.52938755487333e-09,0.999999998779725
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6249",43.132183563486,41341.4310027467,0.00104331617259742,0.999167554284869
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6250",4.6534187634197e-05,41341.4311749,1.12560659637854e-09,0.999999999101896
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6257",4.65342965388739e-05,32023.2038754075,1.45314306213471e-09,0.99999999884056
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6258",4.65341772853752e-05,41341.4311750324,1.12560634604926e-09,0.999999999101896
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6260",4.65345386733308e-05,31575.3237840533,1.47376283428113e-09,0.999999998824107
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6261",43.1321835630783,31251.4797779581,0.00138016451923341,0.998898788388344
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6262",4.65346846422402e-05,41341.4311662024,1.1256186186482e-09,0.999999999101886
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6263",4.65347960698553e-05,41341.431165892,1.12562131395799e-09,0.999999999101884
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6264",20.8729678766183,29233.174664026,0.00071401645960486,0.99943029733913
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6265",4.65343377819133e-05,31251.4798112617,1.48902829763423e-09,0.999999998811927
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6266",4.65338494735062e-05,30532.9910003159,1.52405145873278e-09,0.999999998783983
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6267",4.65343282603621e-05,30659.9419979542,1.51775656534077e-09,0.999999998789005
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6268",4.65342219164464e-05,33755.3498570894,1.37857323693753e-09,0.999999998900058
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6269",4.65343456029062e-05,35802.8799937038,1.29973749628772e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6271",4.65342174823384e-05,33755.3498571129,1.37857310557641e-09,0.999999998900058
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6272",4.65342867665471e-05,31006.3772327654,1.50079728493314e-09,0.999999998802537
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6273",4.65342810574277e-05,31006.3772327747,1.50079710080543e-09,0.999999998802537
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6274",4.65343524397034e-05,30191.8454046759,1.5412887756936e-09,0.999999998770229
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6345",4.65342543179991e-05,41341.4311741631,1.12560820940039e-09,0.999999999101895
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6347",20.8729678766179,29233.1746768533,0.00071401645929154,0.99943029733938
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6348",20.8729678766181,29233.1746768536,0.00071401645929154,0.99943029733938
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6349",43.1321835902473,41341.4312784277,0.0010433161662875,0.999167554289904
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6350",4.65341652825152e-05,32023.2038762023,1.45313896330955e-09,0.999999998840563
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6357",4.65342970821965e-05,32023.2038754863,1.45314307909766e-09,0.99999999884056
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6358",4.65343199713958e-05,30426.7938851576,1.52938624250173e-09,0.999999998779726
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6359",4.65344398212952e-05,41341.4311732291,1.12561269652969e-09,0.999999999101891
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6360",4.65344552832189e-05,41341.4311730541,1.12561307053999e-09,0.999999999101891
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6362",4.65344454359697e-05,41341.4311731294,1.1256128323447e-09,0.999999999101891
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6363",4.65341702026431e-05,41341.4311744326,1.12560617474273e-09,0.999999999101896
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6365",4.6534327629162e-05,30426.7938851181,1.5293864941821e-09,0.999999998779726
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6366",4.65343198866216e-05,31251.4798109746,1.48902772502568e-09,0.999999998811928
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6367",4.65342721794621e-05,32683.5181400796,1.42378406082292e-09,0.999999998863985
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6368",4.65343078891115e-05,33755.3498567453,1.37857578388608e-09,0.999999998900056
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6369",4.65342540346493e-05,32683.5181400607,1.42378350565668e-09,0.999999998863985
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6370",4.65334772578132e-05,33755.3498589035,1.37855117640084e-09,0.999999998900075
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6371",43.132183595373,35802.8800775209,0.00120471267959401,0.999038778585257
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6373",4.65342329846912e-05,31575.3237842105,1.47375315302265e-09,0.999999998824115
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6374",4.6534545185764e-05,32683.5181406159,1.42379241382632e-09,0.999999998863978
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6444",4.65342849601444e-05,29625.5641698828,1.57074763853614e-09,0.999999998746725
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6445",4.65343192262724e-05,29467.9712522701,1.57914906417888e-09,0.999999998740021
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6448",4.65343417750221e-05,35802.8799936501,1.29973738937413e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6449",4.6534326977287e-05,29955.0541937754,1.55347163374376e-09,0.999999998760509
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6450",4.65343984632909e-05,41341.4311733305,1.12561169612605e-09,0.999999999101892
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6460",4.65344233828267e-05,41341.4311730507,1.12561229890757e-09,0.999999999101891
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6464",4.65343461161366e-05,35802.8799936162,1.29973751062579e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6465",4.65344101499391e-05,41341.4311732261,1.125611978815e-09,0.999999999101892
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6466",20.6498243253041,29233.1746631708,0.000706383229438288,0.999436387774093
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6470",4.65343289847847e-05,31575.3237841335,1.47375619337807e-09,0.999999998824113
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6472",23.1755529696124,29233.1746717228,0.000792782625556921,0.999367451049255
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6473",4.65343482413675e-05,31575.3237840735,1.47375680324264e-09,0.999999998824112
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6474",20.4675027685101,29233.1746740032,0.000700146425995659,0.999441364022038
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6475",21.2784329847263,29233.1746611751,0.000727886493046082,0.999419230656465
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6542",4.65342115172497e-05,41341.4311740073,1.12560717410546e-09,0.999999999101895
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6544",4.65342692261975e-05,30814.3940626417,1.51014714524645e-09,0.999999998795077
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6545",4.65342985055199e-05,31251.4798110061,1.48902704086133e-09,0.999999998811928
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6565",4.653442047846e-05,35802.8799936916,1.29973958761584e-09,0.999999998962958
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6566",4.65343179088765e-05,41341.4311735288,1.12560974760527e-09,0.999999999101893
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6567",4.65342715863695e-05,30814.3940626164,1.51014722184085e-09,0.999999998795077
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6568",4.65344935339252e-05,35802.8799934763,1.29974162811495e-09,0.999999998962956
