"model","label","group","engine","n_obs","AIC","BIC","logLik","deviance","df","status"
"tel_null","Null model with year and site random effects","Baseline","glmer",1324,1131.19337852075,1146.75861673024,-562.596689260376,983.477013110149,3,"ok"
"tel_null_glm","Intercept-only model","Baseline","glm",1324,1133.0607913244,1138.2492040609,-565.530395662199,1131.0607913244,1,"ok"
"tel_year_factor","Year as a factor","Baseline","glm",1324,1124.24918175332,1155.3796581723,-556.124590876658,1112.24918175332,6,"ok"
"tel_year_linear","Year as a linear trend","Baseline","glm",1324,1126.44271348718,1136.81953896018,-561.221356743592,1122.44271348718,2,"ok"
"tel_year_poly","Year as a quadratic trend","Baseline","glm",1324,1126.04088796778,1141.60612617727,-560.020443983888,1120.04088796778,3,"ok"
"tel_spatial","Spatial position","Baseline","glm",1324,1134.99312184297,1145.36994731596,-565.496560921484,1130.99312184297,2,"ok"
"tel_spatiotemporal","Year and spatial position, 2018 excluded","Baseline","glm",1324,1128.32233815498,1143.88757636447,-561.161169077488,1122.32233815498,3,"ok"
"tel_mapping_field","Mapping field as a fixed effect","Baseline","glm",1324,796.609906591305,1953.62594683013,-175.304953295652,350.609906591305,223,"ok"
"tel_random_only","Year and site random effects only","Baseline","glmer",1324,1131.19337852075,1146.75861673024,-562.596689260376,983.477013110149,3,"ok"
"tel_area_null","Null model on records with a positive site area","Habitat","glmer",713,583.790103417731,597.498547678974,-288.895051708865,480.78698403377,3,"ok"
"tel_area","Site area (selected habitat model)","Habitat","glmer",713,585.728099107448,604.006024789105,-288.864049553724,480.852935617459,4,"ok"
"tel_area_null_glm","Intercept-only model on records with a positive site area","Habitat","glm",713,587.337567493105,591.907048913519,-292.668783746553,585.337567493105,1,"ok"
"tel_plant_area_subset","Host plant abundance, records with a positive site area","Habitat","glmer",713,335.852456365562,354.130382047219,-163.926228182781,11.3642610799974,4,"ok"
"tel_plant","Host plant abundance, all records","Habitat","glmer",1324,648.47909210754,669.232743053528,-320.23954605377,15.821736733245,4,"ok"
"tel_plant_poly","Host plant abundance, quadratic","Habitat","glmer",1324,650.422002527423,676.364066209907,-320.211001263711,15.8231566228576,5,"ok"
"tel_resource_density","Site area by host plant abundance","Habitat","glmer",NA,NA,NA,NA,NA,NA,"failed"
"tel_mow_null","Null model on records where mowing was assessed","Management","glmer",698,616.079672874575,629.724330182862,-305.039836437288,533.79746964976,3,"ok"
"tel_timing_mow_subset","Mowing timing, records where mowing was assessed","Management","glmer",698,608.001130754516,626.194007165566,-300.000565377258,517.745355776551,4,"ok"
"tel_method_mow_subset","Mowing method, records where mowing was assessed","Management","glmer",698,614.423558483712,632.616434894761,-303.211779241856,539.234506355399,4,"ok"
"tel_method_timing_mow_subset","Mowing method by timing, records where mowing was assessed","Management","glmer",698,611.025689434815,638.315004051389,-299.512844717407,523.045890848527,6,"ok"
"tel_mow_null_glm","Intercept-only model on records where mowing was assessed","Management","glm",698,616.839326901912,621.387546004674,-307.419663450956,614.839326901912,1,"ok"
"tel_graze_null","Null model on records where grazing was assessed","Management","glmer",17,29.508146638982,32.0077866711507,-11.754073319491,23.5081464155975,3,"ok"
"tel_graze","Grazing present","Management","glmer",1324,648.481722393182,669.235373339169,-320.240861196591,15.8198146726955,4,"ok"
"tel_graze_method","Grazing intensity","Management","glmer",17,31.3656490035312,34.6985023797561,-11.6828245017656,23.3656490035309,4,"ok"
"tel_method","Mowing method, all records","Management","glmer",706,624.035582795118,642.274043745091,-308.017791397559,547.840827523947,4,"ok"
"tel_timing","Mowing timing, all records","Management","glmer",754,689.56036529844,708.061934770472,-340.78018264922,607.015249685582,4,"ok"
"tel_method_timing","Mowing method by timing, all records","Management","glmer",698,611.025689434815,638.315004051389,-299.512844717407,523.045890848527,6,"ok"
"tel_protect","Any protection","Conservation","glmer",1324,1047.98507704202,1068.73872798801,-519.99253852101,973.443197201917,4,"ok"
"tel_evl","Natura 2000 membership","Conservation","glmer",1324,1058.94362747497,1079.69727842095,-525.471813737483,981.833306176652,4,"ok"
"tel_evl_target","Natura 2000 designated for Phengaris","Conservation","glmer",1324,1097.26197807509,1118.01562902108,-544.630989037546,965.535143748737,4,"ok"
"tel_evl_combined","Natura 2000 membership and designation (selected protection model)","Conservation","glmer",1324,1059.91849109795,1085.86055478043,-524.959245548974,978.26741389758,5,"ok"
"tel_protection_combined","Natura 2000 membership, designation and small-scale protection","Conservation","glmer",1324,1060.09322006884,1091.22369648782,-524.046610034418,959.600682339827,6,"fitted with warnings"
"tel_mzchu","Small-scale protected area","Conservation","glmer",1324,1111.26223364032,1132.0158845863,-551.631116820158,993.412433359456,4,"ok"
"tel_fsb","Habitat quality evaluation, all levels","Conservation","glmer",1324,1117.9343229546,1175.00686305606,-547.967161477298,980.532770175696,11,"fitted with warnings"
"tel_fsb_subset","Habitat quality evaluation, T / X / mosaic only","Conservation","glmer",633,633.344753184356,655.597105295077,-311.672376592178,569.846368123436,5,"ok"
"tel_het_inner","Within-site habitat heterogeneity","Conservation","glmer",1324,1133.19304324015,1153.94669418614,-562.596521620074,983.470732396575,4,"ok"
"tel_het_inner_dup_year","Within-site habitat heterogeneity, year term repeated","Conservation","glmer",1324,1135.19304327213,1161.13510695461,-562.596521636063,983.471985766937,5,"ok"
"tel_het_outer","Between-habitat heterogeneity","Conservation","glmer",1324,1133.17283117891,1153.9264821249,-562.586415589455,983.395072984645,4,"ok"
