"model","label","engine","formula"
"tel_null","Null model with year and site random effects","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"tel_null_glm","Intercept-only model","glm","as.factor(POSITIVE) ~ 1"
"tel_year_factor","Year as a factor","glm","as.factor(POSITIVE) ~ as.factor(YEAR)"
"tel_year_linear","Year as a linear trend","glm","as.factor(POSITIVE) ~ as.numeric(YEAR)"
"tel_year_poly","Year as a quadratic trend","glm","as.factor(POSITIVE) ~ poly(as.numeric(YEAR), 2)"
"tel_spatial","Spatial position","glm","as.factor(POSITIVE) ~ X:Y"
"tel_spatiotemporal","Year and spatial position, 2018 excluded","glm","as.factor(POSITIVE) ~ as.numeric(YEAR) + X:Y"
"tel_mapping_field","Mapping field as a fixed effect","glm","as.factor(POSITIVE) ~ as.factor(SITMAP)"
"tel_random_only","Year and site random effects only","glmer","as.factor(POSITIVE) ~ (1 | YEAR) + (1 | X:Y)"
"tel_area_null","Null model on records with a positive site area","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"tel_area","Site area (selected habitat model)","glmer","as.factor(POSITIVE) ~ log10(AREA_SITE) + (1 | YEAR) + (1 | X:Y)"
"tel_area_null_glm","Intercept-only model on records with a positive site area","glm","as.factor(POSITIVE) ~ 1"
"tel_plant_area_subset","Host plant abundance, records with a positive site area","glmer","as.factor(POSITIVE) ~ PLANT_QUANT + (1 | YEAR) + (1 | X:Y)"
"tel_plant","Host plant abundance, all records","glmer","as.factor(POSITIVE) ~ PLANT_QUANT + (1 | YEAR) + (1 | X:Y)"
"tel_plant_poly","Host plant abundance, quadratic","glmer","as.factor(POSITIVE) ~ poly(PLANT_QUANT, 2) + (1 | YEAR) + (1 |      X:Y)"
"tel_resource_density","Site area by host plant abundance","glmer","as.factor(POSITIVE) ~ log(AREA_SITE) * as.numeric(PLANT_QUANT) +      (1 | YEAR) + (1 | X:Y)"
"tel_mow_null","Null model on records where mowing was assessed","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"tel_timing_mow_subset","Mowing timing, records where mowing was assessed","glmer","as.factor(POSITIVE) ~ as.factor(TIMING) + (1 | YEAR) + (1 | X:Y)"
"tel_method_mow_subset","Mowing method, records where mowing was assessed","glmer","as.factor(POSITIVE) ~ as.factor(METHOD) + (1 | YEAR) + (1 | X:Y)"
"tel_method_timing_mow_subset","Mowing method by timing, records where mowing was assessed","glmer","as.factor(POSITIVE) ~ as.factor(METHOD) * as.factor(TIMING) +      (1 | YEAR) + (1 | X:Y)"
"tel_mow_null_glm","Intercept-only model on records where mowing was assessed","glm","as.factor(POSITIVE) ~ 1"
"tel_graze_null","Null model on records where grazing was assessed","glmer","as.factor(POSITIVE) ~ 1 + (1 | YEAR) + (1 | X:Y)"
"tel_graze","Grazing present","glmer","as.factor(POSITIVE) ~ as.factor(GRAZE) + (1 | YEAR) + (1 | X:Y)"
"tel_graze_method","Grazing intensity","glmer","as.factor(POSITIVE) ~ as.factor(GRAZE_MET) + (1 | YEAR) + (1 |      X:Y)"
"tel_method","Mowing method, all records","glmer","as.factor(POSITIVE) ~ as.factor(METHOD) + (1 | YEAR) + (1 | X:Y)"
"tel_timing","Mowing timing, all records","glmer","as.factor(POSITIVE) ~ as.factor(TIMING) + (1 | YEAR) + (1 | X:Y)"
"tel_method_timing","Mowing method by timing, all records","glmer","as.factor(POSITIVE) ~ as.factor(METHOD) * as.factor(TIMING) +      (1 | YEAR) + (1 | X:Y)"
"tel_protect","Any protection","glmer","as.factor(POSITIVE) ~ as.factor(PROTECT) + (1 | YEAR) + (1 |      X:Y)"
"tel_evl","Natura 2000 membership","glmer","as.factor(POSITIVE) ~ as.factor(EVL) + (1 | YEAR) + (1 | X:Y)"
"tel_evl_target","Natura 2000 designated for Phengaris","glmer","as.factor(POSITIVE) ~ as.factor(EVL_target) + (1 | YEAR) + (1 |      X:Y)"
"tel_evl_combined","Natura 2000 membership and designation (selected protection model)","glmer","as.factor(POSITIVE) ~ as.factor(EVL) + as.factor(EVL_target) +      (1 | YEAR) + (1 | X:Y)"
"tel_protection_combined","Natura 2000 membership, designation and small-scale protection","glmer","as.factor(POSITIVE) ~ as.factor(EVL) + as.factor(EVL_target) +      as.factor(MZCHU) + (1 | YEAR) + (1 | X:Y)"
"tel_mzchu","Small-scale protected area","glmer","as.factor(POSITIVE) ~ as.factor(MZCHU) + (1 | YEAR) + (1 | X:Y)"
"tel_fsb","Habitat quality evaluation, all levels","glmer","as.factor(POSITIVE) ~ as.factor(FSB) + (1 | YEAR) + (1 | X:Y)"
"tel_fsb_subset","Habitat quality evaluation, T / X / mosaic only","glmer","as.factor(POSITIVE) ~ as.factor(FSB) + (1 | YEAR) + (1 | X:Y)"
"tel_het_inner","Within-site habitat heterogeneity","glmer","as.factor(POSITIVE) ~ HET_INN + (1 | YEAR) + (1 | X:Y)"
"tel_het_inner_dup_year","Within-site habitat heterogeneity, year term repeated","glmer","as.factor(POSITIVE) ~ HET_INN + (1 | YEAR) + (1 | YEAR) + (1 |      X:Y)"
"tel_het_outer","Between-habitat heterogeneity","glmer","as.factor(POSITIVE) ~ HET_OUT + (1 | YEAR) + (1 | X:Y)"
