"Variable","PC1","PC2"
"PLANT_QUANT",0.200327066095133,-0.407925790198645
"HET_INN",0.274349117589932,-0.141660541587544
"EVL",0.267659178337097,0.200213176790724
"MZCHU",0.226305517997684,0.356992207538641
"LandUseChange",-0.185684272636202,0.456834046352075
"Abandonment",-0.258152151958709,-0.189577891355001
"HarmfulMow",-0.245160260063045,0.190845201223261
"HarmfulGrazing",0.263541787234415,-0.0521778793986611
"GrazingByeffects",0.26590198815018,0.0124390263322856
"FertilizerUse",-0.22380804653433,0.00421796869782316
"Afforestation",-0.256904969679007,0.182004934577426
"Invasives",-0.195893767081271,-0.177835152553691
"NativeDominants",-0.241065745549398,-0.304687298084966
"AbioticNaturalProcesses",-0.23677232206522,0.293274593178547
"Encroachment",-0.252344870904739,0.0622840332234238
"BiomassAccumulation",0.267768414202845,0.101843253776172
"Eutrophization",-0.237374959782919,-0.322799007798152
